fecha,autoridad_ambiental,nombre_de_la_estaci_n,tecnolog_a,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,concentraci_n,geocoded_column
30/06/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,42.8,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
01/07/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,21.75,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
03/07/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,19.63,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
06/07/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,35.24,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
09/07/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,28.57,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
13/07/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,22.4,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
15/07/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,17.8,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
17/07/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,32.76,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
20/07/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,27.49,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
22/07/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,33.81,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
24/07/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,25.19,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
27/07/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,28.65,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
31/07/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,20.91,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
01/08/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,36.48,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
03/08/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,31.72,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
07/08/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,29.52,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
09/08/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,38.17,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
11/08/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,35.2,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
14/08/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,26.36,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
17/08/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,39.05,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
20/08/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,27.53,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
23/08/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,30.0,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
25/08/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,25.44,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
28/08/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,33.81,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
30/08/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,30.42,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
01/09/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,26.82,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
03/09/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,40.37,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
06/09/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,36.48,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
09/09/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,29.64,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
11/09/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,37.25,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
15/09/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,40.19,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
